Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,3246.93,3246.93,3246.93,3246.93,000,3246.93
2017-02-28,3241.73,3241.73,3241.73,3241.73,000,3241.73
2017-02-27,3228.66,3228.66,3228.66,3228.66,000,3228.66
2017-02-24,3253.43,3253.43,3253.43,3253.43,000,3253.43
2017-02-23,3251.38,3251.38,3251.38,3251.38,000,3251.38
2017-02-22,3261.22,3261.22,3261.22,3261.22,000,3261.22
2017-02-21,3253.33,3253.33,3253.33,3253.33,000,3253.33
2017-02-17,3202.08,3202.08,3202.08,3202.08,000,3202.08
2017-02-16,3229.62,3229.62,3229.62,3229.62,000,3229.62
2017-02-15,3212.99,3212.99,3212.99,3212.99,000,3212.99
2017-02-14,3217.93,3217.93,3217.93,3217.93,000,3217.93
2017-02-13,3216.84,3216.84,3216.84,3216.84,000,3216.84
2017-02-10,3196.70,3196.70,3196.70,3196.70,000,3196.70
2017-02-09,3183.18,3183.18,3183.18,3183.18,000,3183.18
2017-02-08,3166.98,3166.98,3166.98,3166.98,000,3166.98
2017-02-07,3153.09,3153.09,3153.09,3153.09,000,3153.09
2017-02-06,3156.98,3156.98,3156.98,3156.98,000,3156.98
2017-02-03,3140.17,3140.17,3140.17,3140.17,000,3140.17
2017-01-26,3159.17,3159.17,3159.17,3159.17,000,3159.17
2017-01-25,3149.55,3149.55,3149.55,3149.55,000,3149.55
2017-01-20,3123.14,3123.14,3123.14,3123.14,000,3123.14
2017-01-19,3101.30,3101.30,3101.30,3101.30,000,3101.30
2017-01-18,3113.01,3113.01,3113.01,3113.01,000,3113.01
2017-01-17,3108.77,3108.77,3108.77,3108.77,000,3108.77
2017-01-16,3103.43,3103.43,3103.43,3103.43,000,3103.43
2017-01-13,3112.76,3112.76,3112.76,3112.76,000,3112.76
2017-01-12,3119.29,3119.29,3119.29,3119.29,000,3119.29
2017-01-11,3136.75,3136.75,3136.75,3136.75,000,3136.75
2017-01-10,3161.67,3161.67,3161.67,3161.67,000,3161.67
2017-01-09,3171.24,3171.24,3171.24,3171.24,000,3171.24
2017-01-06,3154.32,3154.32,3154.32,3154.32,000,3154.32
2017-01-05,3165.41,3165.41,3165.41,3165.41,000,3165.41
2017-01-04,3158.79,3158.79,3158.79,3158.79,000,3158.79
2017-01-03,3135.92,3135.92,3135.92,3135.92,000,3135.92
2016-12-30,3103.64,3103.64,3103.64,3103.64,000,3103.64
2016-12-29,3096.10,3096.10,3096.10,3096.10,000,3096.10
2016-12-28,3102.24,3102.24,3102.24,3102.24,000,3102.24
2016-12-27,3114.66,3114.66,3114.66,3114.66,000,3114.66
2016-12-26,3122.57,3122.57,3122.57,3122.57,000,3122.57
2016-12-23,3110.15,3110.15,3110.15,3110.15,000,3110.15
2016-12-22,3139.56,3139.56,3139.56,3139.56,000,3139.56
2016-12-21,3137.43,3137.43,3137.43,3137.43,000,3137.43
2016-12-20,3102.88,3102.88,3102.88,3102.88,000,3102.88
2016-12-19,3118.08,3118.08,3118.08,3118.08,000,3118.08
2016-12-16,3122.98,3122.98,3122.98,3122.98,000,3122.98
2016-12-13,3155.04,3155.04,3155.04,3155.04,000,3155.04
2016-12-12,3152.97,3152.97,3152.97,3152.97,000,3152.97
2016-12-09,3232.88,3232.88,3232.88,3232.88,000,3232.88
2016-12-08,3215.37,3215.37,3215.37,3215.37,000,3215.37
2016-12-07,3222.24,3222.24,3222.24,3222.24,000,3222.24
2016-12-06,3199.65,3199.65,3199.65,3199.65,000,3199.65
2016-12-05,3204.71,3204.71,3204.71,3204.71,000,3204.71
2016-12-02,3243.84,3243.84,3243.84,3243.84,000,3243.84
2016-12-01,3273.31,3273.31,3273.31,3273.31,000,3273.31
2016-11-30,3250.03,3250.03,3250.03,3250.03,000,3250.03
2016-11-29,3282.92,3282.92,3282.92,3282.92,000,3282.92
2016-11-28,3277.00,3277.00,3277.00,3277.00,000,3277.00
2016-11-25,3261.94,3261.94,3261.94,3261.94,000,3261.94
2016-11-24,3241.74,3241.74,3241.74,3241.74,000,3241.74
2016-11-23,3241.14,3241.14,3241.14,3241.14,000,3241.14
2016-11-22,3248.35,3248.35,3248.35,3248.35,000,3248.35
2016-11-18,3192.86,3192.86,3192.86,3192.86,000,3192.86
2016-11-17,3208.45,3208.45,3208.45,3208.45,000,3208.45
2016-11-16,3205.06,3205.06,3205.06,3205.06,000,3205.06
2016-11-15,3206.99,3206.99,3206.99,3206.99,000,3206.99
2016-11-14,3210.37,3210.37,3210.37,3210.37,000,3210.37
2016-11-11,3196.04,3196.04,3196.04,3196.04,000,3196.04
2016-11-10,3171.28,3171.28,3171.28,3171.28,000,3171.28
2016-11-09,3128.37,3128.37,3128.37,3128.37,000,3128.37
2016-11-08,3147.89,3147.89,3147.89,3147.89,000,3147.89
2016-11-07,3133.33,3133.33,3133.33,3133.33,000,3133.33
2016-11-04,3125.32,3125.32,3125.32,3125.32,000,3125.32
2016-11-03,3128.94,3128.94,3128.94,3128.94,000,3128.94
2016-11-02,3102.73,3102.73,3102.73,3102.73,000,3102.73
2016-11-01,3122.44,3122.44,3122.44,3122.44,000,3122.44
2016-10-31,3100.49,3100.49,3100.49,3100.49,000,3100.49
2016-10-28,3104.27,3104.27,3104.27,3104.27,000,3104.27
2016-10-27,3112.35,3112.35,3112.35,3112.35,000,3112.35
2016-10-26,3116.31,3116.31,3116.31,3116.31,000,3116.31
2016-10-25,3131.94,3131.94,3131.94,3131.94,000,3131.94
2016-10-24,3128.25,3128.25,3128.25,3128.25,000,3128.25
2016-10-21,3090.94,3090.94,3090.94,3090.94,000,3090.94
2016-10-20,3084.46,3084.46,3084.46,3084.46,000,3084.46
2016-10-19,3084.72,3084.72,3084.72,3084.72,000,3084.72
2016-10-18,3083.88,3083.88,3083.88,3083.88,000,3083.88
2016-10-14,3063.81,3063.81,3063.81,3063.81,000,3063.81
2016-10-13,3061.35,3061.35,3061.35,3061.35,000,3061.35
2016-10-12,3058.50,3058.50,3058.50,3058.50,000,3058.50
2016-10-11,3065.25,3065.25,3065.25,3065.25,000,3065.25
2016-10-10,3048.14,3048.14,3048.14,3048.14,000,3048.14
2016-09-30,3004.70,3004.70,3004.70,3004.70,000,3004.70
2016-09-29,2998.48,2998.48,2998.48,2998.48,000,2998.48
2016-09-28,2987.86,2987.86,2987.86,2987.86,000,2987.86
2016-09-27,2998.17,2998.17,2998.17,2998.17,000,2998.17
2016-09-26,2980.43,2980.43,2980.43,2980.43,000,2980.43
2016-09-23,3033.90,3033.90,3033.90,3033.90,000,3033.90
2016-09-22,3042.31,3042.31,3042.31,3042.31,000,3042.31
2016-09-21,3025.87,3025.87,3025.87,3025.87,000,3025.87
2016-09-20,3023.00,3023.00,3023.00,3023.00,000,3023.00
2016-09-19,3026.05,3026.05,3026.05,3026.05,000,3026.05
2016-09-14,3002.85,3002.85,3002.85,3002.85,000,3002.85
2016-09-13,3023.51,3023.51,3023.51,3023.51,000,3023.51
2016-09-12,3021.98,3021.98,3021.98,3021.98,000,3021.98
2016-09-09,3078.85,3078.85,3078.85,3078.85,000,3078.85
2016-09-08,3095.95,3095.95,3095.95,3095.95,000,3095.95
